title,portal,label
Pemkot Seoul Gelar Rapat Penting Bahas Comeback BTS,detik,0
Perasaan Melinda Gates Usai Nama Bill Gates Muncul di Epstein Files,detik,0
Ayam Goreng Bu Iyin: Ayam Goreng Basah ala Bandung yang Nikmat Pakai Jukut Gurih,detik,0
"AFC Umumkan Calon Tuan Rumah Piala Asia 2031, Ada Indonesia",detik,0
"Emiten COIN Dorong Biaya Transaksi Kripto Dipangkas, Ini Tujuannya",detik,1
"Lebih Gelap dari Pulau Pedofil, Ini Fakta Ngeri Peternakan Mewah Epstein",detik,1
KPK Usut Kaitan 600 Lowongan Perangkat Desa dengan Kasus Pemerasan Bupati Pati,detik,0
Polisi Sita 82 Vape Narkoba dari Duo Wanita 'Jualan' di Apartemen Jakbar,detik,0
Potret Penginapan Tenang dan Damai di Kaki Gunung Merapi,detik,0
8 Ruas Jalan di Jakarta Dialihkan Saat Kunjungan PM Australia Besok,detik,0
"Insentif Mobil Listrik Disetop, Moeldoko Bilang Nggak Ada Pengaruhnya",detik,0
Arteta Dihukum Kartu Kuning.... Gara-gara Ketawa,detik,1
IHSG Ditutup Menguat Tipis ke Level 8.146,detik,0
Ribuan Orang Turun ke Jalan di Caracas Tuntut Pembebasan Maduro,detik,0
"Sinopsis Danny the Dog, Film di Bioskop Trans TV Hari Ini",detik,0
Bagi Eks Gitaris Lirik-lirik Kritik Turnstile Cuma Omong Kosong,detik,0
Menghadirkan Jiwa Kemanusiaan di Meja Perundingan Dunia,detik,0
"Kalahkan Ribuan Peserta, 6 Siswa RI Jadi Best Delegate di AYIMUN 2026",detik,0
"Tempat Ibadah-Panti Jompo, Total 2.460 Lokasi Implementasi Pidana Kerja Sosial",detik,0
"Jumlah Pengguna Internet Indonesia Terbaru, Demografi hingga Perilaku",detik,0
Peran Konektivitas Digital dalam Perkuat Sistem Pertahanan Nasional,detik,0
"Selain di Kalsel, KPK Juga OTT Kasus Lain di Jakarta",detik,0
KPK OTT Pejabat Pajak di Banjarmasin Terkait Restitusi Pajak,detik,0
Menteri Prabowo: MBG Lebih Mendesak daripada Lapangan Kerja!,detik,1
Pernyataan Mengejutkan Menteri Prabowo: MBG Lebih Mendesak dari Lapangan Kerja,detik,1
Fakta di Balik Alamat Rumah SpongeBob Diklaim Pulau Jeffrey Epstein,detik,0
"Tak Perlu Tunggu Punya Apple, Teleconverter Kit ini Bisa Dipakai di iPhone",detik,0
Deretan Pentolan Teknologi yang Terbanyak Disebut di Dokumen Epstein,detik,0
Email Lengkap Diduga Percakapan Elon Musk dan Jeffrey Epstein,detik,0
"Harga Redmi Note 15 Pro+ 5G Bulan Februari, Ada Penurunan",detik,0
Tanah Bisa Ambles Mendadak! Ahli Ungkap Penyebab Sinkhole di Indonesia,detik,0
"Poco F8 Pro & Ultra Resmi di RI: Spek Gahar, Audio Bose, Rp 8 Jutaan",detik,0
Harga Oppo Find X9 Pro Februari 2026,detik,0
Logitech G325 Lightspeed Rilis di RI: Headset Wireless Gaming Rp 1 Jutaan,detik,0
Samsung Galaxy Z Flip 7: Puncak Inovasi Ponsel Layar Lipat,detik,0
"Samsung Galaxy Z Fold 7: Makin Tipis, Makin Matang, Makin Sulit Disaingi",detik,0
"Realme 14 5G: HP Gaming yang Stabil Banget, No Lag No Heat",detik,0
